KET QUA DO KIEM
Nguoi kiem tra:,Nguyen Van Tan
Ngay và gio kiem tra:,240508_175406
SAP ID:,Driver BD M26 1200/40W V1 TC-00035625,FAIL
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(mA) ,Efficient(%) 
1,Pass,PPPPPPP,220.290,335.300,0.567,41.900,134.460,296.700,95.213
2,Pass,PPPPPPP,220.240,344.880,0.563,42.800,133.850,299.210,93.573
3,Pass,PPPPPPP,220.260,335.300,0.563,41.600,132.950,296.020,94.605
4,Pass,PPPPPPP,220.180,334.950,0.569,42.000,132.810,297.320,94.017
5,Pass,PPPPPPP,220.190,192.107,1.000,42.300,132.210,297.470,92.975
6,Pass,PPPPPPP,220.240,336.350,0.570,42.200,132.080,298.480,93.420
7,Fail,PFFPFFF,220.430,0.000,1.000,0.000,0.000,0.010,NaN
8,Pass,PPPPPPP,220.550,334.600,0.564,41.600,131.180,299.200,94.349
9,Pass,PPPPPPP,220.420,334.950,0.569,42.000,130.960,300.360,93.655
10,Pass,PPPPPPP,220.320,334.600,0.558,41.100,130.780,295.210,93.936
11,Pass,PPPPPPP,220.350,326.400,0.574,41.300,130.550,297.060,93.901
12,Pass,PPPPPPP,220.420,325.720,0.571,41.000,130.400,294.920,93.799
13,Pass,PPPPPPP,221.010,306.240,0.609,41.200,132.740,295.070,95.067
14,Fail,PFFPFFF,220.930,0.000,1.000,0.000,8.900,0.000,NaN
