KET QUA DO KIEM
Nguoi kiem tra:,Nguyen Van Tan
Ngay và gio kiem tra:,240508_174629
SAP ID:,Driver BD M26 1200/40W V1 TC-00035625,FAIL
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(mA) ,Efficient(%) 
1,Pass,PPPPPPP,220.460,335.300,0.571,42.200,134.510,296.700,94.571
2,Pass,PPPPPPP,220.430,335.650,0.574,42.500,133.880,299.170,94.242
3,Pass,PPPPPPP,220.430,335.300,0.566,41.800,132.960,296.030,94.163
4,Pass,PPPPPPP,220.360,344.520,0.556,42.200,132.790,297.300,93.551
5,Pass,PPPPPPP,220.380,336.000,0.569,42.100,132.220,297.410,93.405
6,Pass,PPPPPPP,220.460,336.000,0.570,42.200,132.090,298.490,93.430
7,Fail,PPFPFFF,220.690,9.969,1.000,2.200,0.000,0.000,0.000
8,Pass,PPPPPPP,220.590,334.950,0.562,41.500,131.230,299.190,94.609
9,Pass,PPPPPPP,220.590,335.300,0.568,42.000,131.030,300.340,93.699
10,Pass,PPPPPPP,220.500,334.600,0.557,41.100,130.870,295.210,94.000
11,Pass,PPPPPPP,220.520,326.400,0.575,41.400,130.630,297.030,93.722
12,Pass,PPPPPPP,220.580,325.720,0.571,41.000,130.460,294.910,93.839
13,Pass,PPPPPPP,221.130,325.380,0.574,41.300,133.040,295.030,95.038
14,Fail,PFFPFFP,221.060,0.000,1.000,0.000,97.440,0.010,99.000
