KET QUA DO KIEM
Nguoi kiem tra:,Nguyen Van Tan
Ngay và gio kiem tra:,240508_175552
SAP ID:,Driver BD M26 1200/40W V1 TC-00035625,PASS
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(mA) ,Efficient(%) 
1,Pass,PPPPPPP,220.270,335.300,0.569,42.000,133.960,296.540,94.582
2,Pass,PPPPPPP,220.250,335.650,0.574,42.400,133.500,299.070,94.165
3,Pass,PPPPPPP,220.410,335.300,0.564,41.700,132.670,295.870,94.132
4,Pass,PPPPPPP,220.420,344.520,0.554,42.100,132.530,297.170,93.549
5,Pass,PPPPPPP,220.200,336.000,0.568,42.000,131.950,297.290,93.399
6,Pass,PPPPPPP,220.300,336.350,0.568,42.100,131.800,297.600,93.168
7,Pass,PPPPPPP,220.370,354.460,0.499,39.000,131.290,299.490,99.000
8,Pass,PPPPPPP,220.250,335.300,0.561,41.400,131.030,299.080,94.658
9,Pass,PPPPPPP,220.250,335.300,0.567,41.900,130.830,300.200,93.735
10,Pass,PPPPPPP,220.180,334.950,0.556,41.000,130.590,295.060,93.980
11,Pass,PPPPPPP,220.210,326.740,0.574,41.300,130.360,296.910,93.717
12,Pass,PPPPPPP,220.280,326.060,0.569,40.900,130.210,294.740,93.834
13,Pass,PPPPPPP,220.850,316.140,0.583,40.700,129.930,294.990,94.172
14,Pass,PPPPPPP,220.790,316.140,0.589,41.100,129.820,296.410,93.625
