KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio kiem tra:,240122_153957
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,221.760,300.000,0.630,41.900,134.870,288.700,92.928
2,Pass,PPPPPPP,222.260,300.000,0.628,41.900,133.050,290.710,92.313
3,Pass,PPPPPPP,222.350,300.000,0.631,42.100,132.840,292.220,92.205
4,Pass,PPPPPPP,221.910,300.000,0.640,42.600,132.640,293.640,91.428
5,Fail,PFFPFFP,222.400,0.000,1.000,0.000,97.950,0.040,99.000
6,Pass,PPPPPPP,222.540,300.000,0.623,41.600,131.260,285.940,90.222
7,Pass,PPPPPPP,222.280,290.000,0.641,41.300,131.120,289.990,92.067
8,Pass,PPPPPPP,221.800,290.000,0.623,40.100,129.550,284.800,92.010
9,Pass,PPPPPPP,221.660,300.000,0.621,41.300,130.370,292.810,92.430
10,Pass,PPPPPPP,222.050,300.000,0.629,41.900,130.570,295.670,92.138
11,Pass,PPPPPPP,221.530,290.000,0.643,41.300,131.830,286.560,91.470
12,Pass,PPPPPPP,221.530,300.000,0.627,41.700,129.900,293.440,91.410
13,Pass,PPPPPPP,222.780,300.000,0.612,40.900,129.960,288.620,91.709
14,Pass,PPPPPPP,222.940,300.000,0.628,42.000,129.410,300.290,92.525
