KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio kiem tra:,240122_153807
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,222.540,300.000,0.625,41.700,133.830,289.350,92.863
2,Pass,PPPPPPP,222.030,290.000,0.648,41.700,132.160,291.360,92.341
3,Pass,PPPPPPP,222.560,300.000,0.632,42.200,132.430,292.700,91.854
4,Pass,PPPPPPP,222.510,300.000,0.638,42.600,132.280,293.850,91.245
5,Fail,PFFPFFP,222.420,0.000,1.000,0.000,77.140,0.030,99.000
6,Pass,PPPPPPP,222.470,290.000,0.640,41.300,130.980,286.370,90.820
7,Pass,PPPPPPP,221.830,290.000,0.645,41.500,130.930,290.380,91.613
8,Pass,PPPPPPP,221.860,290.000,0.625,40.200,129.340,285.200,91.761
9,Pass,PPPPPPP,221.820,300.000,0.624,41.500,130.330,293.280,92.104
10,Pass,PPPPPPP,222.080,300.000,0.632,42.100,130.530,296.010,91.777
11,Pass,PPPPPPP,221.740,290.000,0.645,41.500,131.790,287.050,91.157
12,Pass,PPPPPPP,221.870,300.000,0.628,41.800,129.880,293.850,91.304
13,Pass,PPPPPPP,222.530,300.000,0.614,41.000,129.920,289.340,91.685
14,Pass,PPPPPPP,222.500,300.000,0.631,42.100,129.330,300.830,92.414
