KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio kiem tra:,240122_153740
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,221.980,300.000,0.631,42.000,135.630,289.600,93.520
2,Pass,PPPPPPP,221.860,300.000,0.633,42.100,133.800,291.760,92.726
3,Pass,PPPPPPP,221.890,300.000,0.638,42.500,133.330,292.980,91.913
4,Pass,PPPPPPP,221.730,300.000,0.645,42.900,133.010,294.210,91.219
5,Fail,PFFPFFP,221.550,0.000,1.000,0.000,71.770,0.070,99.000
6,Pass,PPPPPPP,221.690,290.000,0.646,41.500,131.520,286.680,90.853
7,Pass,PPPPPPP,221.140,290.000,0.649,41.600,131.540,290.970,92.005
8,Pass,PPPPPPP,221.530,290.000,0.627,40.300,129.970,285.640,92.121
9,Pass,PPPPPPP,221.300,300.000,0.627,41.600,130.670,293.420,92.166
10,Pass,PPPPPPP,221.740,300.000,0.636,42.300,130.800,296.220,91.597
11,Pass,PPPPPPP,221.770,290.000,0.648,41.700,132.110,287.440,91.064
12,Pass,PPPPPPP,221.040,300.000,0.633,42.000,130.110,294.330,91.179
13,Pass,PPPPPPP,222.830,300.000,0.615,41.100,130.180,289.580,91.721
14,Pass,PPPPPPP,222.610,300.000,0.630,42.100,129.640,300.980,92.682
