KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio kiem tra:,240122_152448
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,222.050,300.000,0.636,42.400,135.970,289.660,92.889
2,Pass,PPPPPPP,222.040,300.000,0.638,42.500,134.010,291.620,91.953
3,Pass,PPPPPPP,222.040,300.000,0.643,42.800,133.710,292.920,91.510
4,Fail,PPPPPPF,222.020,310.000,0.635,43.700,133.370,294.180,89.782
5,Fail,PFFPFFP,221.940,0.000,1.000,0.000,100.730,0.090,99.000
6,Pass,PPPPPPP,222.010,300.000,0.629,41.900,131.900,286.670,90.243
7,Pass,PPPPPPP,222.540,300.000,0.629,42.000,131.930,290.940,91.390
8,Pass,PPPPPPP,222.460,290.000,0.629,40.600,130.350,285.630,91.704
9,Pass,PPPPPPP,222.460,300.000,0.628,41.900,131.080,293.400,91.787
10,Pass,PPPPPPP,222.450,300.000,0.635,42.400,131.230,296.290,91.703
11,Pass,PPPPPPP,222.390,290.000,0.648,41.800,132.500,287.350,91.086
12,Pass,PPPPPPP,222.560,300.000,0.634,42.300,130.510,294.160,90.758
13,Pass,PPPPPPP,223.210,300.000,0.617,41.300,130.510,289.580,91.509
14,Pass,PPPPPPP,223.000,300.000,0.632,42.300,129.970,300.890,92.451
