KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio kiem tra:,240122_152001
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,222.790,300.000,0.637,42.600,135.700,289.280,92.149
2,Pass,PPPPPPP,222.510,300.000,0.638,42.600,134.220,291.520,91.849
3,Pass,PPPPPPP,222.950,300.000,0.641,42.900,133.900,293.060,91.470
4,Pass,PPPPPPP,222.940,300.000,0.643,43.000,133.730,294.090,91.462
5,Fail,PFFPFFP,222.680,0.000,1.000,0.000,73.850,0.030,99.000
6,Pass,PPPPPPP,222.580,300.000,0.630,42.100,132.300,286.590,90.061
7,Pass,PPPPPPP,222.110,300.000,0.630,42.000,132.230,290.710,91.525
8,Pass,PPPPPPP,222.040,290.000,0.632,40.700,130.750,285.360,91.673
9,Pass,PPPPPPP,222.120,300.000,0.632,42.100,131.440,293.430,91.611
10,Pass,PPPPPPP,222.150,300.000,0.636,42.400,131.600,296.240,91.946
11,Pass,PPPPPPP,221.850,290.000,0.653,42.000,132.960,287.410,90.986
12,Pass,PPPPPPP,222.120,300.000,0.638,42.500,130.920,294.220,90.634
13,Pass,PPPPPPP,223.590,300.000,0.617,41.400,130.740,289.730,91.496
14,Pass,PPPPPPP,223.500,300.000,0.632,42.400,130.280,300.850,92.440
