KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio kiem tra:,240122_153920
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,222.380,300.000,0.624,41.600,134.440,289.010,93.400
2,Pass,PPPPPPP,222.070,300.000,0.629,41.900,132.650,291.230,92.200
3,Pass,PPPPPPP,222.180,300.000,0.632,42.100,132.700,292.280,92.127
4,Pass,PPPPPPP,221.810,300.000,0.640,42.600,132.490,293.400,91.250
5,Fail,PFFPFFP,222.300,0.000,1.000,0.000,87.930,0.170,99.000
6,Pass,PPPPPPP,222.480,290.000,0.639,41.200,131.130,286.090,91.056
7,Pass,PPPPPPP,221.210,290.000,0.644,41.300,130.990,289.990,91.975
8,Pass,PPPPPPP,221.240,290.000,0.625,40.100,129.420,284.800,91.917
9,Pass,PPPPPPP,221.160,300.000,0.624,41.400,130.330,292.850,92.191
10,Pass,PPPPPPP,221.430,300.000,0.629,41.800,130.510,295.720,92.331
11,Pass,PPPPPPP,221.090,290.000,0.646,41.400,131.770,286.730,91.262
12,Pass,PPPPPPP,221.200,300.000,0.628,41.700,129.890,293.470,91.412
13,Pass,PPPPPPP,223.030,290.000,0.632,40.900,129.980,289.050,91.860
14,Pass,PPPPPPP,223.090,300.000,0.628,42.000,129.390,300.350,92.529
