KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio kiem tra:,240122_151632
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,223.430,290.000,0.654,42.400,135.670,289.530,92.643
2,Pass,PPPPPPP,223.180,300.000,0.641,42.900,134.200,291.560,91.206
3,Pass,PPPPPPP,223.240,300.000,0.647,43.300,133.850,292.810,90.514
4,Fail,PPPPPPF,223.260,300.000,0.654,43.800,133.640,293.900,89.673
5,Fail,PFFPFFP,223.020,0.000,1.000,0.000,100.090,0.190,99.000
6,Pass,PPPPPPP,223.290,300.000,0.618,41.400,132.260,286.590,91.557
7,Pass,PPPPPPP,222.130,290.000,0.654,42.100,132.120,290.740,91.241
8,Pass,PPPPPPP,222.060,290.000,0.630,40.600,130.680,285.480,91.888
9,Pass,PPPPPPP,221.870,300.000,0.631,42.000,131.360,293.350,91.749
10,Pass,PPPPPPP,221.860,300.000,0.639,42.500,131.550,296.060,91.639
11,Pass,PPPPPPP,222.020,290.000,0.651,41.900,132.860,287.160,91.055
12,Pass,PPPPPPP,222.310,300.000,0.636,42.400,130.900,294.130,90.806
13,Pass,PPPPPPP,222.880,300.000,0.621,41.500,130.770,289.590,91.252
14,Pass,PPPPPPP,222.840,300.000,0.636,42.500,130.300,300.900,92.252
