KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio kiem tra:,240122_153848
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,222.090,300.000,0.624,41.600,135.000,289.170,93.841
2,Pass,PPPPPPP,222.080,300.000,0.633,42.200,133.220,291.260,91.947
3,Pass,PPPPPPP,222.060,300.000,0.632,42.100,132.970,292.540,92.397
4,Pass,PPPPPPP,222.090,300.000,0.638,42.500,132.690,293.770,91.718
5,Fail,PFFPFFP,221.970,0.000,1.000,0.000,47.710,0.020,99.000
6,Pass,PPPPPPP,222.080,290.000,0.643,41.400,131.310,286.080,90.737
7,Pass,PPPPPPP,221.470,290.000,0.645,41.400,131.200,290.330,92.008
8,Pass,PPPPPPP,221.230,290.000,0.627,40.200,129.620,285.030,91.904
9,Pass,PPPPPPP,221.320,300.000,0.624,41.400,130.430,292.890,92.274
10,Pass,PPPPPPP,221.560,300.000,0.632,42.000,130.600,295.820,91.986
11,Pass,PPPPPPP,221.380,290.000,0.646,41.500,131.870,287.010,91.200
12,Pass,PPPPPPP,221.540,300.000,0.629,41.800,129.960,293.840,91.358
13,Pass,PPPPPPP,223.810,290.000,0.632,41.000,130.030,289.060,91.674
14,Pass,PPPPPPP,223.210,300.000,0.629,42.100,129.470,300.720,92.480
