KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio kiem tra:,240122_151519
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,221.940,300.000,0.640,42.600,135.730,289.280,92.169
2,Pass,PPPPPPP,221.990,300.000,0.650,43.300,134.260,291.510,90.388
3,Pass,PPPPPPP,222.270,300.000,0.645,43.000,133.920,293.080,91.277
4,Pass,PPPPPPP,221.970,300.000,0.647,43.100,133.740,294.180,91.285
5,Fail,PFFPFFP,221.830,0.000,1.000,0.000,77.850,0.060,99.000
6,Pass,PPPPPPP,221.910,300.000,0.628,41.800,132.320,286.590,90.722
7,Pass,PPPPPPP,222.170,300.000,0.636,42.400,132.360,290.880,90.804
8,Pass,PPPPPPP,222.320,280.000,0.655,40.800,130.850,285.570,91.585
9,Pass,PPPPPPP,222.180,300.000,0.632,42.100,131.510,293.360,91.638
10,Pass,PPPPPPP,222.170,300.000,0.639,42.600,131.700,296.120,91.547
11,Pass,PPPPPPP,222.060,290.000,0.654,42.100,133.050,287.360,90.815
12,Pass,PPPPPPP,222.080,300.000,0.635,42.300,131.030,294.450,91.210
13,Fail,PPFPPPP,222.700,270.000,0.532,32.000,130.890,289.470,99.000
14,Pass,PPPPPPP,221.810,300.000,0.640,42.600,130.440,301.010,92.168
