KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio kiem tra:,240122_152050
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,221.940,300.000,0.641,42.700,135.580,289.230,91.836
2,Pass,PPPPPPP,222.280,300.000,0.639,42.600,134.070,291.260,91.665
3,Pass,PPPPPPP,222.250,300.000,0.642,42.800,133.810,292.880,91.566
4,Pass,PPPPPPP,222.130,310.000,0.627,43.200,133.600,293.730,90.839
5,Fail,PFFPFFP,222.320,0.000,1.000,0.000,100.430,0.180,99.000
6,Pass,PPPPPPP,222.000,300.000,0.632,42.100,132.230,286.570,90.007
7,Pass,PPPPPPP,222.960,290.000,0.650,42.000,132.200,290.570,91.460
8,Pass,PPPPPPP,222.930,290.000,0.631,40.800,130.670,285.200,91.341
9,Pass,PPPPPPP,222.880,300.000,0.625,41.800,131.380,293.460,92.236
10,Pass,PPPPPPP,222.890,300.000,0.634,42.400,131.560,296.120,91.881
11,Pass,PPPPPPP,222.890,290.000,0.650,42.000,132.930,287.100,90.867
12,Pass,PPPPPPP,223.060,310.000,0.610,42.200,130.870,294.130,91.215
13,Pass,PPPPPPP,223.330,300.000,0.616,41.300,130.710,289.340,91.573
14,Pass,PPPPPPP,223.410,300.000,0.633,42.400,130.240,300.810,92.400
