KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio:,240120_160008
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,224.310,300.000,0.609,41.000,133.120,287.140,287.140,93.229
2,Pass,PPPPPPP,224.360,300.000,0.612,41.200,131.790,289.640,289.640,92.650
3,Pass,PPPPPPP,224.330,300.000,0.614,41.300,132.250,291.040,291.040,93.196
4,Pass,PPPPPPP,224.290,300.000,0.617,41.500,132.210,292.370,292.370,93.143
5,Fail,PFFPFFP,224.120,0.000,1.000,0.000,72.800,0.050,0.050,99.000
6,Pass,PPPPPPP,224.370,290.000,0.629,40.900,130.900,285.230,285.230,91.288
7,Pass,PPPPPPP,223.090,290.000,0.629,40.700,130.660,288.530,288.530,92.627
8,Pass,PPPPPPP,222.830,290.000,0.611,39.500,129.240,283.670,283.670,92.814
9,Pass,PPPPPPP,223.210,300.000,0.611,40.900,130.340,291.210,291.210,92.803
10,Pass,PPPPPPP,223.170,300.000,0.618,41.400,130.560,293.970,293.970,92.707
11,Pass,PPPPPPP,223.020,290.000,0.629,40.700,131.650,284.820,284.820,92.129
12,Pass,PPPPPPP,222.670,300.000,0.617,41.200,129.860,292.320,292.320,92.138
13,Pass,PPPPPPP,224.210,290.000,0.617,40.100,129.530,286.540,286.540,92.557
14,Pass,PPPPPPP,223.990,300.000,0.613,41.200,129.140,298.050,298.050,93.423
