KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio:,240120_155339
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,P,PPPPPPP,223.820,330.000,0.551,40.700,134.780,287.520,287.520,95.214
2,P,PPPPPPP,224.160,270.000,0.687,41.600,133.270,289.670,289.670,92.799
3,P,PPPPPPP,223.710,300.000,0.626,42.000,132.960,290.850,290.850,92.075
4,P,PPPPPPP,223.670,300.000,0.629,42.200,132.790,292.200,292.200,91.946
5,F,PFFPFFP,223.650,0.000,1.000,0.000,45.310,0.050,0.050,99.000
6,P,PPPPPPP,223.720,300.000,0.618,41.500,131.440,285.520,285.520,90.431
7,P,PPPPPPP,224.320,290.000,0.629,40.900,131.360,288.760,288.760,92.742
8,P,PPPPPPP,224.060,290.000,0.614,39.900,129.940,283.690,283.690,92.388
9,P,PPPPPPP,224.060,330.000,0.556,41.100,130.700,291.290,291.290,92.632
10,P,PPPPPPP,223.920,340.000,0.546,41.600,130.890,294.280,294.280,92.592
11,P,PPPPPPP,224.080,290.000,0.629,40.900,131.910,285.170,285.170,91.973
12,P,PPPPPPP,224.190,300.000,0.614,41.300,130.180,292.540,292.540,92.210
13,P,PPPPPPP,225.500,300.000,0.597,40.400,129.970,287.100,287.100,92.362
14,P,PPPPPPP,225.460,300.000,0.550,37.200,129.570,298.100,298.100,99.000
