KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio:,240120_160658
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,224.130,290.000,0.632,41.100,133.440,287.690,93.405
2,Pass,PPPPPPP,224.080,300.000,0.617,41.500,132.090,289.930,92.282
3,Pass,PPPPPPP,223.930,300.000,0.619,41.600,132.460,290.770,92.585
4,Pass,PPPPPPP,223.910,300.000,0.621,41.700,132.340,292.450,92.813
5,Fail,PFFPFFP,224.130,0.000,1.000,0.000,73.160,0.030,99.000
6,Pass,PPPPPPP,224.200,290.000,0.631,41.000,131.060,285.370,91.221
7,Pass,PPPPPPP,223.780,290.000,0.630,40.900,130.860,288.500,92.306
8,Pass,PPPPPPP,223.690,290.000,0.615,39.900,129.460,283.730,92.059
9,Pass,PPPPPPP,223.800,290.000,0.632,41.000,130.520,291.680,92.854
10,Pass,PPPPPPP,223.720,300.000,0.620,41.600,130.730,294.350,92.501
11,Pass,PPPPPPP,223.690,290.000,0.630,40.900,131.740,285.040,91.812
12,Pass,PPPPPPP,223.770,300.000,0.615,41.300,130.050,292.670,92.159
13,Pass,PPPPPPP,224.600,290.000,0.619,40.300,129.770,287.120,92.455
14,Pass,PPPPPPP,224.690,270.000,0.681,41.300,129.390,298.130,93.402
