KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio:,240120_160720
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,223.220,340.000,0.542,41.100,133.080,287.420,93.065
2,Pass,PPPPPPP,223.070,300.000,0.617,41.300,131.850,289.780,92.512
3,Pass,PPPPPPP,223.090,300.000,0.625,41.800,132.240,290.860,92.018
4,Pass,PPPPPPP,223.020,300.000,0.628,42.000,132.160,291.740,91.801
5,Fail,PFFPFFP,223.100,0.000,1.000,0.000,57.260,0.080,99.000
6,Pass,PPPPPPP,223.260,300.000,0.614,41.100,130.910,284.600,90.650
7,Pass,PPPPPPP,223.150,290.000,0.630,40.800,130.830,288.390,92.476
8,Pass,PPPPPPP,223.070,290.000,0.614,39.700,129.410,283.500,92.412
9,Pass,PPPPPPP,223.200,340.000,0.540,41.000,130.460,291.550,92.770
10,Pass,PPPPPPP,223.000,300.000,0.620,41.500,130.690,294.260,92.667
11,Pass,PPPPPPP,223.140,290.000,0.630,40.800,131.770,284.850,91.997
12,Pass,PPPPPPP,223.350,300.000,0.615,41.200,130.000,292.550,92.309
13,Pass,PPPPPPP,224.510,290.000,0.619,40.300,129.710,286.920,92.348
14,Pass,PPPPPPP,224.420,330.000,0.556,41.200,129.320,298.120,93.575
