KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio:,240120_160741
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,223.930,300.000,0.613,41.200,132.950,287.590,92.804
2,Pass,PPPPPPP,223.960,300.000,0.612,41.100,131.670,289.580,92.771
3,Pass,PPPPPPP,223.850,300.000,0.619,41.600,132.200,290.800,92.413
4,Pass,PPPPPPP,223.760,300.000,0.623,41.800,132.130,292.260,92.384
5,Fail,PFFPFFP,223.810,0.000,1.000,0.000,63.870,0.030,99.000
6,Pass,PPPPPPP,223.850,290.000,0.632,41.000,130.840,284.370,90.749
7,Pass,PPPPPPP,223.850,340.000,0.535,40.700,130.660,288.590,92.647
8,Pass,PPPPPPP,223.720,290.000,0.612,39.700,129.280,283.740,92.398
9,Pass,PPPPPPP,223.670,300.000,0.613,41.100,130.380,291.100,92.345
10,Pass,PPPPPPP,223.620,300.000,0.617,41.400,130.600,294.170,92.799
11,Pass,PPPPPPP,223.620,290.000,0.628,40.700,131.670,285.050,92.218
12,Pass,PPPPPPP,223.740,300.000,0.614,41.200,129.940,292.130,92.134
13,Pass,PPPPPPP,224.630,290.000,0.617,40.200,129.630,286.490,92.382
14,Pass,PPPPPPP,224.570,300.000,0.612,41.200,129.260,298.170,93.547
