KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio:,240120_155911
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,224.370,300.000,0.614,41.300,134.560,287.630,287.630,93.713
2,Pass,PPPPPPP,223.880,300.000,0.618,41.500,133.120,290.040,290.040,93.036
3,Pass,PPPPPPP,224.160,300.000,0.623,41.900,132.910,290.940,290.940,92.288
4,Pass,PPPPPPP,224.060,300.000,0.628,42.200,132.750,292.250,292.250,91.934
5,Fail,PFFPFFP,224.240,0.000,1.000,0.000,74.520,0.070,0.070,99.000
6,Pass,PPPPPPP,224.130,300.000,0.611,41.100,131.430,285.570,285.570,91.320
7,Pass,PPPPPPP,223.760,290.000,0.632,41.000,131.450,288.800,288.800,92.592
8,Pass,PPPPPPP,223.600,290.000,0.615,39.900,130.010,283.650,283.650,92.424
9,Pass,PPPPPPP,223.530,300.000,0.613,41.100,130.790,291.720,291.720,92.832
10,Pass,PPPPPPP,223.510,300.000,0.620,41.600,130.990,294.660,294.660,92.782
11,Pass,PPPPPPP,223.680,290.000,0.631,40.900,131.980,285.300,285.300,92.063
12,Pass,PPPPPPP,223.590,300.000,0.619,41.500,130.270,292.560,292.560,91.836
13,Pass,PPPPPPP,225.350,300.000,0.598,40.400,130.130,287.050,287.050,92.460
14,Pass,PPPPPPP,225.300,300.000,0.614,41.500,129.720,298.340,298.340,93.255
