KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio:,240120_160636
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,223.820,300.000,0.620,41.600,134.450,287.730,92.994
2,Pass,PPPPPPP,223.870,300.000,0.625,42.000,133.020,289.860,91.803
3,Pass,PPPPPPP,223.670,300.000,0.623,41.800,132.860,291.210,92.560
4,Pass,PPPPPPP,223.600,300.000,0.631,42.300,132.690,292.570,91.776
5,Fail,PFFPFFP,223.680,0.000,1.000,0.000,68.520,0.100,99.000
6,Fail,PPFPPPP,224.150,290.000,0.549,35.700,131.400,285.650,99.000
7,Pass,PPPPPPP,223.080,290.000,0.637,41.200,131.520,288.930,92.233
8,Pass,PPPPPPP,223.260,300.000,0.596,39.900,130.050,283.900,92.534
9,Pass,PPPPPPP,223.060,300.000,0.616,41.200,130.810,291.540,92.564
10,Pass,PPPPPPP,223.010,300.000,0.623,41.700,131.010,294.660,92.574
11,Pass,PPPPPPP,222.960,290.000,0.633,40.900,132.030,285.390,92.127
12,Pass,PPPPPPP,223.470,300.000,0.619,41.500,130.290,292.600,91.862
13,Pass,PPPPPPP,224.460,290.000,0.621,40.400,130.070,287.050,92.417
14,Pass,PPPPPPP,224.420,300.000,0.616,41.500,129.690,298.340,93.233
