KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio:,240120_155946
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,223.780,300.000,0.615,41.300,134.480,287.440,287.440,93.595
2,Pass,PPPPPPP,223.840,300.000,0.619,41.600,133.000,289.990,289.990,92.713
3,Pass,PPPPPPP,223.960,300.000,0.619,41.600,132.890,291.050,291.050,92.975
4,Pass,PPPPPPP,223.870,300.000,0.622,41.800,132.720,292.070,292.070,92.736
5,Fail,PFFPFFP,223.590,0.000,1.000,0.000,65.150,0.150,0.150,99.000
6,Pass,PPPPPPP,223.940,300.000,0.612,41.100,131.350,285.520,285.520,91.248
7,Pass,PPPPPPP,223.750,290.000,0.630,40.900,131.180,288.520,288.520,92.538
8,Pass,PPPPPPP,223.740,290.000,0.612,39.700,129.780,283.570,283.570,92.700
9,Pass,PPPPPPP,223.600,300.000,0.611,41.000,130.630,291.490,291.490,92.872
10,Pass,PPPPPPP,223.550,300.000,0.620,41.600,130.830,294.430,294.430,92.597
11,Pass,PPPPPPP,223.590,290.000,0.628,40.700,131.860,285.260,285.260,92.419
12,Pass,PPPPPPP,223.890,320.000,0.576,41.300,130.110,292.480,292.480,92.142
13,Pass,PPPPPPP,224.460,300.000,0.598,40.300,129.900,287.150,287.150,92.558
14,Pass,PPPPPPP,224.890,300.000,0.612,41.300,129.490,298.100,298.100,93.465
